座位数
海航旗下天津航
海南航空
华夏航空
厦门航空
山东航空
四川航空
长龙航空
东方航空
南方航空
成都航空
西藏航空
海航旗下长安航空
河北航空
中国联合航空
吉祥航空
海航旗下首都航
中国国航
深圳航空
重庆航空
海航旗下福航
海航旗下乌航
上海航空
海航旗下北部湾航
海航旗下西部航
幸福航空
江西航空
海航旗下金鹏航空
湖南航空
昆明航空
东海航空
多彩航空
大新华航空
海航旗下祥鹏航空
青岛航空
苏南瑞丽航空
奥凯航空
天骄航空
龙江航空
桂林航空
